Treatment,Temperature,CHX,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count
30C_noCHX,30C,mock,BioRep1,14,1,0
30C_noCHX,30C,mock,BioRep1,14,2,1
30C_noCHX,30C,mock,BioRep1,14,3,0
30C_noCHX,30C,mock,BioRep1,14,4,1
30C_noCHX,30C,mock,BioRep1,14,5,2
30C_noCHX,30C,mock,BioRep1,14,6,0
30C_noCHX,30C,mock,BioRep1,14,7,0
30C_noCHX,30C,mock,BioRep1,14,8,0
30C_noCHX,30C,mock,BioRep1,14,9,0
30C_noCHX,30C,mock,BioRep1,15,1,8
30C_noCHX,30C,mock,BioRep1,15,2,1
30C_noCHX,30C,mock,BioRep1,15,3,0
30C_noCHX,30C,mock,BioRep1,15,4,0
30C_noCHX,30C,mock,BioRep1,15,5,0
30C_noCHX,30C,mock,BioRep1,15,6,1
30C_noCHX,30C,mock,BioRep1,15,7,1
30C_noCHX,30C,mock,BioRep1,15,8,0
46C_CHX,46C,CHX,BioRep1,1,1,3
46C_CHX,46C,CHX,BioRep1,1,2,4
46C_CHX,46C,CHX,BioRep1,1,3,1
46C_CHX,46C,CHX,BioRep1,1,4,0
46C_CHX,46C,CHX,BioRep1,1,5,0
46C_CHX,46C,CHX,BioRep1,1,6,1
46C_CHX,46C,CHX,BioRep1,1,7,1
46C_CHX,46C,CHX,BioRep1,1,8,0
46C_CHX,46C,CHX,BioRep1,1,9,0
46C_CHX,46C,CHX,BioRep1,1,10,0
46C_CHX,46C,CHX,BioRep1,1,11,1
46C_CHX,46C,CHX,BioRep1,1,12,0
46C_CHX,46C,CHX,BioRep1,1,13,0
46C_CHX,46C,CHX,BioRep1,1,14,0
46C_CHX,46C,CHX,BioRep1,1,15,0
46C_CHX,46C,CHX,BioRep1,1,16,1
46C_CHX,46C,CHX,BioRep1,1,17,0
46C_CHX,46C,CHX,BioRep1,1,18,0
46C_CHX,46C,CHX,BioRep1,1,19,0
46C_CHX,46C,CHX,BioRep1,1,20,0
46C_CHX,46C,CHX,BioRep1,2,1,1
46C_CHX,46C,CHX,BioRep1,2,2,2
46C_CHX,46C,CHX,BioRep1,2,3,1
46C_CHX,46C,CHX,BioRep1,2,4,1
46C_CHX,46C,CHX,BioRep1,2,5,0
46C_CHX,46C,CHX,BioRep1,2,6,0
46C_CHX,46C,CHX,BioRep1,2,7,1
46C_CHX,46C,CHX,BioRep1,2,8,0
46C_CHX,46C,CHX,BioRep1,2,9,0
46C_CHX,46C,CHX,BioRep1,2,10,0
46C_CHX,46C,CHX,BioRep1,2,11,0
46C_CHX,46C,CHX,BioRep1,2,12,0
46C_CHX,46C,CHX,BioRep1,2,13,1
46C_CHX,46C,CHX,BioRep1,2,14,0
46C_CHX,46C,CHX,BioRep1,3,1,0
46C_CHX,46C,CHX,BioRep1,3,2,0
46C_CHX,46C,CHX,BioRep1,3,3,0
46C_CHX,46C,CHX,BioRep1,3,4,0
